donchian_period,ema_filter_period,sl_multiplier,tp_multiplier,profit_factor,num_trades,win_rate_pct,total_return_pct,sharpe_ratio,max_drawdown_pct,final_value,annual_return_pct,sortino_ratio,calmar_ratio
7,50,2.0,3.0,0.77,114,42.98,-14.69,-0.11,21.64,8530.97,-14.73,-0.02,-0.68
5,75,4.0,2.0,0.77,133,65.41,-16.31,-0.1,25.46,8369.18,-16.35,-0.01,-0.64
5,75,4.0,3.0,0.76,131,54.2,-22.16,-0.11,33.97,7783.52,-22.22,-0.01,-0.65
5,25,2.0,2.0,0.76,155,52.26,-16.42,-0.13,22.69,8358.14,-16.46,-0.02,-0.73
5,50,2.0,3.0,0.75,145,41.38,-19.28,-0.13,26.2,8072.01,-19.33,-0.02,-0.74
10,75,2.0,3.0,0.74,79,43.04,-11.43,-0.1,15.87,8857.05,-11.46,-0.01,-0.72
10,25,2.0,2.0,0.74,90,53.33,-10.92,-0.1,13.79,8907.51,-10.95,-0.01,-0.79
5,75,3.0,3.0,0.74,135,47.41,-21.8,-0.13,28.71,7820.33,-21.85,-0.02,-0.76
5,50,3.0,2.0,0.73,142,57.75,-19.01,-0.13,22.3,8099.21,-19.05,-0.01,-0.85
10,75,3.0,2.0,0.72,77,59.74,-11.65,-0.1,13.12,8835.25,-11.68,-0.01,-0.89
7,50,4.0,2.0,0.72,110,64.55,-17.68,-0.11,22.77,8232.37,-17.72,-0.01,-0.78
7,25,2.0,2.0,0.71,121,52.07,-15.8,-0.14,20.04,8419.76,-15.84,-0.02,-0.79
7,50,3.0,2.0,0.71,112,58.04,-16.85,-0.13,19.03,8314.56,-16.9,-0.01,-0.89
7,75,4.0,2.0,0.71,104,64.42,-16.8,-0.11,22.47,8319.92,-16.84,-0.01,-0.75
7,75,2.0,3.0,0.71,108,41.67,-17.2,-0.14,23.06,8280.38,-17.24,-0.02,-0.75
5,50,2.0,2.0,0.7,145,50.34,-19.61,-0.16,23.06,8039.43,-19.65,-0.02,-0.85
5,75,3.0,2.0,0.7,137,56.93,-19.91,-0.14,24.85,8008.82,-19.96,-0.01,-0.8
5,75,2.0,3.0,0.7,140,40.0,-22.27,-0.16,28.11,7773.41,-22.32,-0.03,-0.79
10,50,2.0,2.0,0.7,84,52.38,-11.99,-0.12,13.68,8800.77,-12.02,-0.01,-0.88
7,75,3.0,2.0,0.69,106,57.55,-16.86,-0.13,19.6,8314.46,-16.9,-0.01,-0.86
5,75,2.0,2.0,0.66,140,49.29,-21.07,-0.18,24.46,7892.65,-21.12,-0.02,-0.86
7,50,2.0,2.0,0.65,114,50.0,-18.74,-0.17,21.79,8125.92,-18.79,-0.02,-0.86
10,75,2.0,2.0,0.64,79,50.63,-14.05,-0.14,15.38,8594.71,-14.09,-0.01,-0.92
7,75,2.0,2.0,0.61,108,49.07,-19.59,-0.19,22.05,8040.68,-19.64,-0.02,-0.89
