atr_length,atr_multiplier,bb_length,bb_std,donchian_period,ema_trend,macd_fast,macd_signal,macd_slow,rsi_period,stoch_d,stoch_k,stoch_smooth,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
14,1.5,20,2,20,200,12,9,26,14,3,14,3,10000,10614.11,614.11,6.14,6.16,0.03,0.02,0.49,12.56,37,0.0,0.0,16.6,0.0,-44.47,0.00075,0.0005,40.88,-34.74
14,2.0,20,2,20,200,12,9,26,14,3,14,3,10000,10209.73,209.73,2.1,2.1,0.02,0.01,0.13,15.66,37,0.0,0.0,5.67,0.0,-52.87,0.00075,0.0005,40.88,-38.78
14,2.5,20,2,20,200,12,9,26,14,3,14,3,10000,10091.62,91.62,0.92,0.92,0.01,0.0,0.06,16.42,37,0.0,0.0,2.48,0.0,0.0,0.00075,0.0005,40.88,-39.96
14,2.0,20,2,40,200,12,9,26,14,3,14,3,10000,8784.23,-1215.77,-12.16,-12.19,-0.29,-0.02,-1.0,12.16,18,0.0,0.0,-67.54,0.0,-45.49,0.00075,0.0005,40.88,-53.04
14,2.5,20,2,40,200,12,9,26,14,3,14,3,10000,8537.31,-1462.69,-14.63,-14.66,-0.29,-0.02,-1.0,14.63,18,0.0,0.0,-81.26,0.0,0.0,0.00075,0.0005,40.88,-55.51
14,1.5,20,2,40,200,12,9,26,14,3,14,3,10000,9037.68,-962.32,-9.62,-9.65,-0.3,-0.02,-1.0,9.62,18,0.0,0.0,-53.46,0.0,-37.86,0.00075,0.0005,40.88,-50.5
14,2.5,20,2,30,200,12,9,26,14,3,14,3,10000,8203.31,-1796.69,-17.97,-18.01,-0.32,-0.02,-1.0,17.97,22,0.0,0.0,-81.67,0.0,0.0,0.00075,0.0005,40.88,-58.85
14,1.5,20,2,30,200,12,9,26,14,3,14,3,10000,8811.14,-1188.86,-11.89,-11.92,-0.33,-0.02,-1.0,11.89,22,0.0,0.0,-54.04,0.0,-36.91,0.00075,0.0005,40.88,-52.77
14,2.0,20,2,30,200,12,9,26,14,3,14,3,10000,8502.17,-1497.83,-14.98,-15.02,-0.33,-0.02,-1.0,14.98,22,0.0,0.0,-68.08,0.0,-44.03,0.00075,0.0005,40.88,-55.86
