atr_length,atr_multiplier,bb_length,bb_std,donchian_period,ema_trend,macd_fast,macd_signal,macd_slow,rsi_momentum_level,rsi_period,stoch_d,stoch_k,stoch_smooth,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
14,2.5,20,2,20,200,12,9,26,55,14,3,14,3,10000,6669.8,-3330.2,-33.3,-33.38,-0.12,-0.04,-0.9,37.12,469,27.51,0.79,-7.1,789.8,-249.18,0.00075,0.0005,32.33,-65.63
14,2.5,20,2,20,200,12,9,26,50,14,3,14,3,10000,5972.73,-4027.27,-40.27,-40.36,-0.13,-0.05,-0.83,48.4,631,25.83,0.78,-6.38,676.59,-213.53,0.00075,0.0005,32.33,-72.6
14,1.5,20,2,20,200,12,9,26,55,14,3,14,3,10000,6330.71,-3669.29,-36.69,-36.77,-0.16,-0.06,-0.88,41.6,469,26.44,0.75,-7.82,444.74,-171.56,0.00075,0.0005,32.33,-69.02
14,2.5,20,2,20,200,12,9,26,45,14,3,14,3,10000,5069.06,-4930.94,-49.31,-49.4,-0.16,-0.07,-0.91,54.54,716,26.26,0.76,-6.89,672.97,-217.44,0.00075,0.0005,32.33,-81.64
14,1.5,20,2,20,200,12,9,26,50,14,3,14,3,10000,5547.17,-4452.83,-44.53,-44.62,-0.17,-0.08,-0.87,51.56,631,24.72,0.74,-7.06,652.25,-163.08,0.00075,0.0005,32.33,-76.86
14,2.0,20,2,20,200,12,9,26,50,14,3,14,3,10000,5336.21,-4663.79,-46.64,-46.73,-0.17,-0.07,-0.86,54.07,631,25.52,0.73,-7.39,599.47,-169.56,0.00075,0.0005,32.33,-78.97
14,2.0,20,2,20,200,12,9,26,55,14,3,14,3,10000,5946.04,-4053.96,-40.54,-40.62,-0.18,-0.06,-0.93,43.88,469,27.08,0.73,-8.64,418.07,-198.47,0.00075,0.0005,32.33,-72.87
14,1.5,20,2,20,200,12,9,26,45,14,3,14,3,10000,4863.05,-5136.95,-51.37,-51.47,-0.19,-0.09,-0.95,54.2,716,25.14,0.73,-7.17,558.02,-184.49,0.00075,0.0005,32.33,-83.7
14,2.0,20,2,20,200,12,9,26,45,14,3,14,3,10000,4523.49,-5476.51,-54.77,-54.86,-0.2,-0.09,-0.93,58.87,716,25.84,0.71,-7.65,497.5,-173.46,0.00075,0.0005,32.33,-87.1
