id,ema_pullback,ema_trend_h1,adx_period,adx_threshold,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
245,21,150,14,25,14,14,40,60,35,55,2.0,10000,6757.1,-3242.9,-32.43,-55.04,-0.18,-0.06,-1.38,39.93,244,33.2,0.77,-13.29,529.91,-287.35,0.00075,0.0005,38.24,-70.67
246,21,150,14,25,14,14,40,60,35,55,2.5,10000,6848.36,-3151.64,-31.52,-53.79,-0.15,-0.05,-1.39,38.68,202,33.66,0.78,-15.6,542.03,-333.05,0.00075,0.0005,38.24,-69.76
247,21,150,14,25,14,14,40,60,40,50,1.5,10000,7753.82,-2246.18,-22.46,-40.47,-0.13,-0.06,-1.26,32.0,280,33.57,0.83,-8.02,602.57,-220.85,0.00075,0.0005,38.24,-60.7
248,21,150,14,25,14,14,40,60,40,50,2.0,10000,7075.98,-2924.02,-29.24,-50.6,-0.16,-0.06,-1.47,34.45,220,32.73,0.78,-13.29,554.92,-268.12,0.00075,0.0005,38.24,-67.48
249,21,150,14,25,14,14,40,60,40,50,2.5,10000,6987.0,-3013.0,-30.13,-51.86,-0.15,-0.05,-1.4,37.06,187,32.62,0.78,-16.11,553.0,-331.71,0.00075,0.0005,38.24,-68.37
250,21,150,14,25,14,14,40,60,40,55,1.5,10000,7948.59,-2051.41,-20.51,-37.38,-0.11,-0.05,-1.14,32.79,300,34.33,0.85,-6.84,617.7,-226.4,0.00075,0.0005,38.24,-58.75
251,21,150,14,25,14,14,40,60,40,55,2.0,10000,6795.94,-3204.06,-32.04,-54.51,-0.18,-0.06,-1.41,38.61,238,32.35,0.77,-13.46,532.96,-257.51,0.00075,0.0005,38.24,-70.28
252,21,150,14,25,14,14,40,60,40,55,2.5,10000,6840.53,-3159.47,-31.59,-53.9,-0.16,-0.05,-1.4,38.53,197,32.99,0.78,-16.04,541.41,-324.76,0.00075,0.0005,38.24,-69.83
253,21,150,14,25,14,14,40,65,35,50,1.5,10000,7454.78,-2545.22,-25.45,-45.06,-0.14,-0.07,-1.33,33.81,319,33.54,0.83,-7.98,579.33,-217.44,0.00075,0.0005,38.24,-63.69
254,21,150,14,25,14,14,40,65,35,50,2.0,10000,6536.48,-3463.52,-34.64,-57.98,-0.19,-0.07,-1.46,39.81,246,32.52,0.76,-14.08,512.61,-273.37,0.00075,0.0005,38.24,-72.88
