id,ema_pullback,ema_trend_h1,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,time_exit_hour,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
265,34,200,14,14,45,60,35,50,1.5,23,10000,6661.09,-3338.91,-33.39,-56.33,-0.2,-0.1,-1.36,41.45,364,32.42,0.75,-9.17,604.88,-209.93,0.00075,0.0005,38.24,-71.63
266,34,200,14,14,45,60,35,50,2.0,23,10000,7108.69,-2891.31,-28.91,-50.14,-0.15,-0.06,-1.34,37.31,313,33.55,0.8,-9.24,640.31,-201.15,0.00075,0.0005,38.24,-67.15
267,34,200,14,14,45,60,35,50,2.5,23,10000,6770.64,-3229.36,-32.29,-54.85,-0.16,-0.06,-1.32,41.44,283,33.92,0.79,-11.41,659.89,-253.17,0.00075,0.0005,38.24,-70.53
268,34,200,14,14,45,60,35,55,1.5,23,10000,6672.58,-3327.42,-33.27,-56.18,-0.19,-0.1,-1.3,43.06,401,32.92,0.77,-8.3,583.89,-206.34,0.00075,0.0005,38.24,-71.51
269,34,200,14,14,45,60,35,55,2.0,23,10000,6897.56,-3102.44,-31.02,-53.11,-0.15,-0.07,-1.28,41.54,344,33.43,0.8,-9.02,600.27,-206.22,0.00075,0.0005,38.24,-69.26
270,34,200,14,14,45,60,35,55,2.5,23,10000,6885.61,-3114.39,-31.14,-53.28,-0.14,-0.05,-1.25,42.77,306,33.99,0.81,-10.18,656.51,-261.59,0.00075,0.0005,38.24,-69.38
271,34,200,14,14,45,60,40,50,1.5,23,10000,7208.94,-2791.06,-27.91,-48.69,-0.16,-0.08,-1.36,35.76,342,32.75,0.78,-8.16,650.84,-170.74,0.00075,0.0005,38.24,-66.15
272,34,200,14,14,45,60,40,50,2.0,23,10000,7716.04,-2283.96,-22.84,-41.06,-0.11,-0.05,-1.23,33.52,294,33.67,0.83,-7.77,724.79,-198.52,0.00075,0.0005,38.24,-61.08
273,34,200,14,14,45,60,40,50,2.5,23,10000,7186.97,-2813.03,-28.13,-49.01,-0.13,-0.05,-1.29,38.01,269,34.2,0.81,-10.46,689.0,-223.84,0.00075,0.0005,38.24,-66.37
274,34,200,14,14,45,60,40,55,1.5,23,10000,7241.34,-2758.66,-27.59,-48.22,-0.15,-0.08,-1.29,37.35,381,33.33,0.8,-7.24,630.0,-173.6,0.00075,0.0005,38.24,-65.83
275,34,200,14,14,45,60,40,55,2.0,23,10000,7409.6,-2590.4,-25.9,-45.74,-0.12,-0.05,-1.22,37.64,329,33.74,0.82,-7.87,673.22,-206.22,0.00075,0.0005,38.24,-64.14
276,34,200,14,14,45,60,40,55,2.5,23,10000,7167.65,-2832.35,-28.32,-49.29,-0.13,-0.05,-1.23,39.92,293,33.79,0.82,-9.67,669.12,-261.59,0.00075,0.0005,38.24,-66.56
277,34,200,14,14,45,65,35,50,1.5,23,10000,6944.01,-3055.99,-30.56,-52.46,-0.17,-0.09,-1.37,38.39,393,33.08,0.8,-7.78,637.59,-207.96,0.00075,0.0005,38.24,-68.8
278,34,200,14,14,45,65,35,50,2.0,23,10000,7394.93,-2605.07,-26.05,-45.96,-0.12,-0.05,-1.35,33.99,332,34.64,0.83,-7.85,670.18,-202.72,0.00075,0.0005,38.24,-64.29
279,34,200,14,14,45,65,35,50,2.5,23,10000,6802.48,-3197.52,-31.98,-54.42,-0.15,-0.05,-1.35,40.28,298,34.56,0.8,-10.73,666.83,-250.72,0.00075,0.0005,38.24,-70.22
280,34,200,14,14,45,65,35,55,1.5,23,10000,6973.41,-3026.59,-30.27,-52.05,-0.16,-0.09,-1.3,39.93,428,33.64,0.81,-7.07,615.47,-204.41,0.00075,0.0005,38.24,-68.51
