id,regime_type,regime_period,regime_direction,adx_period,adx_threshold,use_volume_filter,volume_ma_period,use_atr_filter,atr_min_threshold,atr_period,ema_fast,ema_slow,entry_indicators,sl_atr_multiplier,tp_atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct,rsi_period,rsi_oversold,rsi_overbought,vwma_fast,vwma_slow,macd_fast,macd_slow,macd_signal,donchian_period,bb_length,bb_std,supertrend_length,supertrend_multiplier
81,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
82,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
83,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
84,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,4.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
85,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
86,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
87,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,21.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
88,ema_adx,150,long_only,14,25,True,20,False,0.5,14,15.0,26.0,['ema_cross'],2.0,6.0,10000,4838.23,-5161.77,-51.62,-51.71,-0.58,-0.1,-1.0,51.62,50,0.0,0.0,-103.24,-58.77,-193.77,0.00075,0.0005,24.27,-75.89,,,,,,,,,,,,,
89,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,21.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
90,ema_adx,150,long_only,14,25,True,20,False,0.5,14,12.0,26.0,['ema_cross'],2.5,5.0,10000,4720.62,-5279.38,-52.79,-52.89,-0.53,-0.08,-1.0,52.79,41,0.0,0.0,-128.77,-73.34,-236.23,0.00075,0.0005,24.27,-77.06,,,,,,,,,,,,,
