sl_multiplier,tp_multiplier,ratio_rr,profit_factor,win_rate_pct,num_trades,total_return_pct,sharpe_ratio,max_drawdown_pct,avg_win,avg_loss
2.0,4.0,2.0,0.88,33.65,312,-23.48,-0.06,31.08,0,0
1.5,1.5,1.0,0.87,50.15,335,-16.42,-0.08,22.19,0,0
2.0,1.5,0.75,0.85,56.0,325,-19.97,-0.09,23.91,0,0
1.5,4.0,2.6666666666666665,0.82,27.3,326,-29.92,-0.1,37.03,0,0
2.5,1.5,0.6,0.81,59.75,318,-26.18,-0.12,29.82,0,0
3.0,4.0,1.3333333333333333,0.79,39.27,275,-39.84,-0.12,48.05,0,0
1.5,2.0,1.3333333333333333,0.78,41.39,331,-30.2,-0.15,34.64,0,0
2.5,4.0,1.6,0.78,36.18,293,-40.81,-0.13,49.5,0,0
3.0,1.5,0.5,0.78,61.56,307,-32.36,-0.14,35.31,0,0
2.0,3.0,1.5,0.76,37.22,317,-40.91,-0.16,42.32,0,0
2.0,2.0,1.0,0.75,46.88,320,-36.73,-0.17,38.94,0,0
1.5,3.0,2.0,0.74,30.91,330,-40.66,-0.18,42.28,0,0
2.5,2.0,0.8,0.72,50.97,308,-41.1,-0.18,43.75,0,0
1.5,1.0,0.6666666666666666,0.7,58.04,336,-30.58,-0.22,30.83,0,0
2.0,1.0,0.5,0.7,63.72,328,-31.78,-0.2,32.35,0,0
3.0,2.0,0.6666666666666666,0.69,53.04,296,-47.67,-0.2,49.2,0,0
3.0,3.0,1.0,0.67,43.46,283,-54.11,-0.21,56.79,0,0
2.5,3.0,1.2,0.67,40.0,300,-53.6,-0.22,56.83,0,0
3.0,1.0,0.3333333333333333,0.66,69.13,311,-39.06,-0.22,40.32,0,0
2.5,1.0,0.4,0.65,66.56,320,-37.82,-0.23,38.75,0,0
