sl_multiplier,tp_multiplier,ratio_rr,profit_factor,win_rate_pct,num_trades,total_return_pct,sharpe_ratio,max_drawdown_pct,avg_win,avg_loss
2.0,4.0,2.0,0.88,33.65,312,-23.48,-0.06,31.08,0,0
1.5,1.5,1.0,0.87,50.15,335,-16.42,-0.08,22.19,0,0
2.0,1.5,0.75,0.85,56.0,325,-19.97,-0.09,23.91,0,0
1.5,4.0,2.6666666666666665,0.82,27.3,326,-29.92,-0.1,37.03,0,0
2.5,1.5,0.6,0.81,59.75,318,-26.18,-0.12,29.82,0,0
3.0,4.0,1.3333333333333333,0.79,39.27,275,-39.84,-0.12,48.05,0,0
1.5,2.0,1.3333333333333333,0.78,41.39,331,-30.2,-0.15,34.64,0,0
2.5,4.0,1.6,0.78,36.18,293,-40.81,-0.13,49.5,0,0
3.0,1.5,0.5,0.78,61.56,307,-32.36,-0.14,35.31,0,0
2.0,3.0,1.5,0.76,37.22,317,-40.91,-0.16,42.32,0,0
