entry_idx,exit_idx,entry_price,exit_price,stop_loss,exit_reason,pnl_pct,pnl_usd,position_type
88,107,4813.04,4681.978860126895,4681.978860126895,SL,-2.8480428143773016,-284.80428143773014,LONG
187,861,4372.77,4255.813617037853,4255.813617037853,SL,-2.7996520617857206,-271.9916772412467,LONG
3152,4605,3838.77,3743.0734640057876,3743.0734640057876,SL,-2.6178957972009878,-247.2132417188569,LONG
4606,6993,3590.0,3344.2467510219803,3344.2467510219803,SL,-6.9704944005019405,-641.0060237569427,LONG
6994,7001,3320.39,3219.5834427127534,3219.5834427127534,SL,-3.160985450120212,-270.42182402446673,LONG
7002,7007,3184.63,3060.646487201716,3060.646487201716,SL,-4.018184225429146,-332.88900167580886,LONG
