entry_idx,exit_idx,entry_price,exit_price,stop_loss,exit_reason,pnl_pct,pnl_usd,position_type
89,132,4740.62,4644.3940562690295,4644.3940562690295,SL,-2.1548176974946394,-215.48176974946392,LONG
4604,4605,3871.3,3782.3139771215315,3782.3139771215315,SL,-2.4236082938152226,-237.13839533821442,LONG
4606,6988,3590.0,3426.1645006813205,3426.1645006813205,SL,-4.688662933667952,-447.64445945602256,LONG
6994,7000,3320.39,3253.185628475169,3253.185628475169,SL,-2.1489903000801416,-195.55243055151715,LONG
7001,7002,3228.92,3155.952349785847,3155.952349785847,SL,-2.384815982252668,-212.3483779591056,LONG
7003,7007,3216.23,3128.5340158867766,3128.5340158867766,SL,-2.8516701732532628,-247.86245385410677,LONG
