donchian_period,ema_filter_period,sl_multiplier,tp_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
20,50,4.0,3.0,10000,10680.07,680.07,6.8,6.82,0.08,0.01,1.7,4.0,26,65.38,1.47,26.16,223.99,-255.06,0.00075,0.0005,36.53,-29.73
20,50,4.0,4.0,10000,10892.8,892.8,8.93,8.95,0.09,0.01,2.23,4.02,25,60.0,1.53,35.71,303.91,-248.14,0.00075,0.0005,36.53,-27.6
20,50,4.0,5.0,10000,10780.2,780.2,7.8,7.82,0.07,0.01,1.39,5.62,24,54.17,1.4,32.51,372.9,-245.78,0.00075,0.0005,36.53,-28.73
20,50,4.0,6.0,10000,10440.78,440.78,4.41,4.42,0.04,0.0,0.52,8.55,24,45.83,1.2,18.37,428.65,-249.34,0.00075,0.0005,36.53,-32.12
20,100,2.0,3.0,10000,10104.87,104.87,1.05,1.05,0.02,0.0,0.27,3.96,24,50.0,1.09,4.37,155.41,-168.49,0.00075,0.0005,36.53,-35.48
20,100,2.0,4.0,10000,9869.26,-130.74,-1.31,-1.31,-0.02,-0.0,-0.34,3.89,23,39.13,0.91,-5.68,207.71,-167.47,0.00075,0.0005,36.53,-37.84
20,100,2.0,5.0,10000,9587.02,-412.98,-4.13,-4.14,-0.05,-0.01,-0.66,6.24,23,30.43,0.74,-17.96,260.42,-161.84,0.00075,0.0005,36.53,-40.66
20,100,2.0,6.0,10000,9105.71,-894.29,-8.94,-8.97,-0.13,-0.01,-0.94,9.57,23,21.74,0.48,-38.88,276.11,-152.92,0.00075,0.0005,36.53,-45.47
20,100,3.0,3.0,10000,10269.06,269.06,2.69,2.7,0.04,0.0,0.81,3.33,24,58.33,1.2,11.21,218.62,-246.19,0.00075,0.0005,36.53,-33.84
20,100,3.0,4.0,10000,10037.35,37.35,0.37,0.37,0.01,0.0,0.07,5.27,23,47.83,1.02,1.62,293.37,-246.02,0.00075,0.0005,36.53,-36.16
