id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
30,9,21,150,20,3,3.0,10000,6607.88,-3392.12,-33.92,-57.04,-0.2,-0.07,-1.51,37.77,195,25.64,0.66,-17.4,937.27,-221.24,0.00075,0.0005,38.24,-72.16

31,9,21,150,20,5,2.0,10000,8417.01,-1582.99,-15.83,-29.63,-0.08,-0.04,-1.23,24.03,170,27.65,0.83,-9.31,1068.55,-167.11,0.00075,0.0005,38.24,-54.07

32,9,21,150,20,5,2.5,10000,8401.92,-1598.08,-15.98,-29.89,-0.08,-0.03,-1.2,24.87,170,30.0,0.83,-9.4,1060.79,-207.51,0.00075,0.0005,38.24,-54.22

33,9,21,150,20,5,3.0,10000,8266.46,-1733.54,-17.34,-32.17,-0.09,-0.03,-1.4,22.96,170,30.59,0.82,-10.2,1030.06,-224.11,0.00075,0.0005,38.24,-55.58

34,9,21,150,20,7,2.0,10000,7258.89,-2741.11,-27.41,-47.96,-0.21,-0.07,-1.5,32.07,164,26.22,0.65,-16.71,483.02,-152.15,0.00075,0.0005,38.24,-65.65

35,9,21,150,20,7,2.5,10000,7089.06,-2910.94,-29.11,-50.42,-0.22,-0.06,-1.5,33.66,164,28.05,0.64,-17.75,465.9,-187.06,0.00075,0.0005,38.24,-67.35

36,9,21,150,20,7,3.0,10000,7044.09,-2955.91,-29.56,-51.06,-0.22,-0.06,-1.5,34.08,164,28.66,0.64,-18.02,456.7,-221.97,0.00075,0.0005,38.24,-67.8

37,9,21,200,14,3,2.0,10000,7897.18,-2102.82,-21.03,-38.21,-0.11,-0.05,-1.42,26.92,195,26.15,0.79,-10.78,1057.75,-228.3,0.00075,0.0005,38.24,-59.27

38,9,21,200,14,3,2.5,10000,7580.7,-2419.3,-24.19,-43.15,-0.13,-0.05,-1.51,28.61,195,27.18,0.77,-12.41,1015.32,-279.65,0.00075,0.0005,38.24,-62.43

39,9,21,200,14,3,3.0,10000,7508.0,-2492.0,-24.92,-44.26,-0.13,-0.04,-1.51,29.29,195,27.69,0.76,-12.78,999.06,-261.06,0.00075,0.0005,38.24,-63.16

40,9,21,200,14,5,2.0,10000,8590.29,-1409.71,-14.1,-26.64,-0.07,-0.03,-0.98,27.31,176,26.7,0.86,-8.01,1103.12,-197.14,0.00075,0.0005,38.24,-52.34

41,9,21,200,14,5,2.5,10000,8277.76,-1722.24,-17.22,-31.98,-0.09,-0.03,-1.13,28.34,176,27.84,0.83,-9.79,1057.12,-203.21,0.00075,0.0005,38.24,-55.46

42,9,21,200,14,5,3.0,10000,8300.21,-1699.79,-17.0,-31.61,-0.08,-0.03,-1.19,26.58,176,28.98,0.83,-9.66,1047.81,-241.23,0.00075,0.0005,38.24,-55.24

43,9,21,200,14,7,2.0,10000,8462.11,-1537.89,-15.38,-28.86,-0.08,-0.03,-1.24,23.31,172,27.33,0.83,-8.94,1042.54,-231.55,0.00075,0.0005,38.24,-53.62

