entry_idx,exit_idx,entry_price,exit_price,stop_loss,exit_reason,pnl_pct,pnl_usd,position_type
622,800,3192.19,3120.8066939845494,3120.8066939845494,SL,-2.361186004449944,-236.1186004449944,LONG
850,1594,3215.11,3330.6845377975937,3330.6845377975937,SL,-3.7197304383860463,-363.1900683871611,SHORT
2050,2160,3400.83,3477.1126442118543,3477.1126442118543,SL,-2.3680596122668414,-222.61397468725582,SHORT
2195,2752,3611.59,3527.5319172427207,3527.5319172427207,SL,-2.452453635580988,-225.08809180544367,LONG
3507,4214,3724.01,3668.201198186076,3668.201198186076,SL,-1.6236211587488816,-145.36262804178156,LONG
4366,4381,3149.07,3308.935810860667,3308.935810860667,SL,-5.201603913557555,-458.1378518226587,SHORT
4846,4853,3516.53,3467.5485060691713,3467.5485060691713,SL,-1.5178928213559657,-126.73629088456315,LONG
5025,5028,3397.99,3345.0478788561604,3345.0478788561604,SL,-1.6830422880538012,-138.39240171477553,LONG
5194,5291,3385.0,3424.450360030251,3424.450360030251,SL,-1.290446381986735,-104.32433231672104,SHORT
5313,5339,3431.25,3381.555915941773,3381.555915941773,SL,-1.5732793168153576,-125.54825208489171,LONG
6519,6568,3290.42,3253.370865977808,3253.370865977808,SL,-1.250969755295433,-98.25726315615805,LONG
6762,7177,3198.15,3253.89,3147.2746561606064,TP,1.6178826040054335,125.4866998548586,LONG
8546,10075,3113.0,2761.31,3189.252482365129,TP,11.17246225505943,880.5818506758305,SHORT
10392,10436,2753.14,2721.402126078244,2721.402126078244,SL,-1.2777882316829545,-111.96362282976209,LONG
11558,11578,2217.5,2206.6,2166.4983048045133,TP,-0.616544532130782,-53.33316851613766,LONG
12406,12659,1894.78,1863.450025096428,1863.450025096428,SL,-1.7784887904438544,-152.89671695249922,LONG
12690,12704,1914.4,1883.108661743478,1883.108661743478,SL,-1.7595245641726949,-148.57610674736236,LONG
13083,13195,1972.77,1999.273263515544,1999.273263515544,SL,-1.4684543061555044,-121.81605546413056,SHORT
19689,19740,2721.5,2662.7558850647993,2662.7558850647993,SL,-2.2835197477567792,-186.64835332692743,LONG
22693,22746,2440.5,2426.8407229790255,2426.8407229790255,SL,-0.6846917443546205,-54.686773105672344,LONG
23634,23644,2597.32,2628.502761456675,2628.502761456675,SL,-1.3255744943509098,-105.14957954019644,SHORT
24373,25169,3384.23,3615.97,3286.6346269101277,TP,6.722643333934153,526.1966495216425,LONG
25195,25684,3705.54,3752.12,3596.220582594784,TP,1.1320367611738082,94.56384258939532,LONG
26369,30762,3637.17,4465.94,3563.3374934970857,TP,22.661122177407147,1914.4090886130582,LONG
30801,30814,4497.0,4462.273032698597,4462.273032698597,SL,-0.8972252012764825,-92.97404630741737,LONG
32313,32316,4747.46,4683.643239737002,4683.643239737002,SL,-1.469229551444315,-150.88141148231466,LONG
