timestamp,close,EMA_200,DONCHI_h_20,DONCHI_l_20,ATRr_14,señal,position
2024-11-05 15:00:00,2459.05,2459.05,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 15:15:00,2438.17,2458.8422388059703,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 15:30:00,2447.4,2458.728385683523,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 15:45:00,2441.19,2458.5538743831894,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 16:00:00,2446.19,2458.430850757486,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 16:15:00,2451.79,2458.364772640496,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 16:30:00,2454.59,2458.327212713725,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 16:45:00,2462.4,2458.367737960355,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 17:00:00,2473.75,2458.520795294083,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 17:15:00,2460.01,2458.535613251356,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 17:30:00,2458.98,2458.5400350100495,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 17:45:00,2451.43,2458.469288393034,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 18:00:00,2448.49,2458.3699919911132,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 18:15:00,2453.6,2458.322529384237,2475.0,2401.3,15.04357142857147,0,0
2024-11-05 18:30:00,2457.43,2458.313648494842,2475.0,2401.3,12.870714285714323,0,0
2024-11-05 18:45:00,2452.63,2458.2570947784757,2475.0,2401.3,11.868571428571483,0,0
2024-11-05 19:00:00,2448.85,2458.163491845357,2475.0,2401.3,10.868571428571483,0,0
2024-11-05 19:15:00,2447.34,2458.0557954090846,2475.0,2401.3,10.609285714285761,0,0
2024-11-05 19:30:00,2445.94,2457.935240230885,2475.0,2401.3,10.190000000000055,0,0
2024-11-05 19:45:00,2408.4,2457.442352268389,2475.0,2401.3,13.017857142857176,0,0
